наименование,зарплата,опыт,требуемые навыки,ссылка
Швея - портной по мебели (в район ВДНХ),"{'from': 70000, 'to': 150000}",От 1 года до 3 лет,"Наличие опыта работы на мебельном производстве будет являться Вашим преимуществом. - Дисциплинированность. - Хорошее знание русского языка, грамотность.",https://hh.ru/vacancy/79710418
"Швея в цех (Одежда), Новокосино","{'from': 50000, 'to': 100000}",От 1 года до 3 лет,,https://hh.ru/vacancy/79952124
Швея,"{'from': 70000, 'to': 80000}",От 3 до 6 лет,Опыт работы с различными видами ткани. - Опыт работы на производстве обязателен.,https://hh.ru/vacancy/79120848
Швея,"{'from': 60000, 'to': None}",От 1 года до 3 лет,Опыт работы на швейном производстве не менее 2-х лет. Знание и понимание работы промышленного швейного оборудования. Высокая скорость пошива. ,https://hh.ru/vacancy/79166799
Швея-портной,"{'from': 60000, 'to': None}",Нет опыта,"Умение работать с разными видами ткани и искусственным мехом Знание технологии пошива швейных изделий из легких, средних и тяжелых тканей...",https://hh.ru/vacancy/79464528
Швея-портной,"{'from': 80000, 'to': 120000}",От 1 года до 3 лет,"Опыт аналогичной работы в легкой промышленности - одежда, в идеале мягкая мебель (швея, портной), швейное производство. Умение шить на промышленной швейной...",https://hh.ru/vacancy/79921197
Швея-лаборант,"{'from': 90000, 'to': None}",От 3 до 6 лет,Опыт работы в пошиве от 3 лет. Умение читать лекала и проверять сопряжения. Качественно и быстро отшивать изделия. ,https://hh.ru/vacancy/78166964
Швея на производство женской одежды,"{'from': 80000, 'to': 130000}",От 3 до 6 лет,Высокое качество и скорость работы. Опыт от 3 лет. Знание русского языка. Опыт работы с тканями разной сложности (ворсовые ткани...,https://hh.ru/vacancy/75851773
Швея женской одежды,"{'from': 70000, 'to': 110000}",От 3 до 6 лет,"Аккуратность, отсутствие брака, высокая квалификация.",https://hh.ru/vacancy/79619229
Швея / Швея-портная (портной),"{'from': 60000, 'to': 100000}",От 3 до 6 лет,,https://hh.ru/vacancy/79504079
Швея - лаборант,"{'from': None, 'to': 90000}",От 1 года до 3 лет,"Отшивать и прорабатывать образцы по готовым лекалам: Бомбер, Свитшоты, Футболки, Рубашки-поло, Рубашки, Брюки/джоггеры, Костюмы трикотажные, спортивные и др. ",https://hh.ru/vacancy/79527716
Швея,,От 1 года до 3 лет,Достаточное количество оборудования. Не нужно ждать очередь на машины - планируете свою работу исходя из Вашей скорости. - Умение работать на промышленном...,https://hh.ru/vacancy/79177701
Швея,"{'from': 60000, 'to': 110000}",От 1 года до 3 лет,Опыт работы на швейном производстве не менее 2 лет. Знание и понимание работы промышленного швейного оборудования. Высокая скорость пошива. ,https://hh.ru/vacancy/79548171
Швея,"{'from': 80000, 'to': 120000}",От 1 года до 3 лет,Опыт работы обязателен. Прямые строчки. Правильная обработка узлов и умение работать по образцу. Опыт работы с текстилем и трикотажем. ,https://hh.ru/vacancy/79680600
Швея-портной,"{'from': 60000, 'to': 90000}",От 3 до 6 лет,Опыт работы от трёх лет.,https://hh.ru/vacancy/79769931
"Швея-портной (мелкий ремонт одежды), м. Динамо","{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/66108162
Швея,"{'from': 50000, 'to': 120000}",Нет опыта,Опыт работы от 3-5 лет. Умение работать с различными типами ткани и плотными материалами.,https://hh.ru/vacancy/78963438
Швея-портной,"{'from': 40000, 'to': None}",От 3 до 6 лет,Опыт работы в сфере ремонта и пошива одежды не менее 3-х лет. Аккуратность при работе. Знание своего дела. ,https://hh.ru/vacancy/80183198
Швея (женская одежда),"{'from': 50000, 'to': None}",От 1 года до 3 лет,"Опыт работы и профильное образование желательно. - Аккуратность, тактичность. - Активность.",https://hh.ru/vacancy/78439246
Швея-портной,"{'from': 10000, 'to': 100000}",От 1 года до 3 лет,Аккуратность. - Внимательность. - Скорость желательна.,https://hh.ru/vacancy/79637491
Швея-портной,"{'from': 40000, 'to': None}",От 1 года до 3 лет,Умeниe рaботать сo всеми видами ткани.,https://hh.ru/vacancy/79870627
Швея по ремонту одежды в ателье,"{'from': 70000, 'to': 100000}",От 1 года до 3 лет,"Знание видов и свойств материалов. Знание методов и приемов выполнения операций. Знание принципов работы со швейным оборудованием, способов устранения мелких...",https://hh.ru/vacancy/78101921
Швея,"{'from': 90000, 'to': None}",От 1 года до 3 лет,Умение быстро и качественно отшивать изделия ОТ начало ДО конца. Отшиваем большие партии одежды. Соблюдение сроков сдачи.,https://hh.ru/vacancy/79192986
Швея портной,"{'from': 70000, 'to': None}",От 3 до 6 лет,"Умение аккуратно шить. Мы ищем швей как на оверлок, так и на другие машинки, расскажите нам, что вы умеете лучше...",https://hh.ru/vacancy/79109056
Швея-портной,"{'from': 60000, 'to': 100000}",От 1 года до 3 лет,,https://hh.ru/vacancy/79479914
Швея-лаборант в экспериментальный цех,"{'from': 70000, 'to': None}",От 1 года до 3 лет,Знание современной технологии швейных изделий любой сложности специальной одежды (приветствуется). Знание и умение работать на всех видах промышленных специальных машин. ,https://hh.ru/vacancy/79845428
Швея,,От 1 года до 3 лет,"Опыт работы на потоке от 1 года. Опыт работы с трикотажем. Опыт работы на плоскошовных машинах, 2-3-4-х...",https://hh.ru/vacancy/78583033
Швея,"{'from': 60000, 'to': 85000}",От 1 года до 3 лет,"Опыт работы швеей от 1 года. Полная занятость, полный день на производстве. Умение шить по операциям на различных промышленных машинах...",https://hh.ru/vacancy/79162641
Швея-портной,"{'from': None, 'to': 120000}",От 3 до 6 лет,Швейный цех по пошиву дизайнерских штор открывает набор швей с опытом и навыками работы. Новый хороший цех 7 минут до...,https://hh.ru/vacancy/79227776
Швея/сотрудник ателье по ремонту одежды,"{'from': 75000, 'to': 80000}",От 1 года до 3 лет,Аккуратность. Пунктуальность. Умение работать на швейных машинах разного типа. Наличие опыта работы приветствуется. Дополнительные умения и знания по профессии приветствуются.,https://hh.ru/vacancy/80141391
Швея-портной,"{'from': 70000, 'to': 120000}",От 1 года до 3 лет,"Высокая скорость и качество пошива. Знание и умение работать на промышленном швейном оборудовании; (будет преимуществом). Умение собрать изделие полностью, включая...",https://hh.ru/vacancy/79338366
Швея-портной,"{'from': 50000, 'to': 100000}",Более 6 лет,"Стаж от 5 лет, добросовестное отношение к работе.",https://hh.ru/vacancy/79543576
Швея-портной,"{'from': 70000, 'to': None}",От 1 года до 3 лет,"Опыт работы более 1 года. Добросовестность, ответственность. Внимательность, исполнительность.",https://hh.ru/vacancy/79293140
Швея,"{'from': 80000, 'to': 100000}",От 1 года до 3 лет,Опыт работы с деликатными тканями и трикотажем. Соблюдение производственной и трудовой дисциплины. Знания различных видов швейного оборудования. Опыт работы или...,https://hh.ru/vacancy/77550596
Швея-портной,"{'from': 60000, 'to': 180000}",От 1 года до 3 лет,Умение работать со всеми видами тканей. Высокая скорость без потери качества.,https://hh.ru/vacancy/79359121
Швея Лаборант,"{'from': 80000, 'to': 100000}",От 1 года до 3 лет,"Знание промышленного оборудования, в том числе спецмашин.",https://hh.ru/vacancy/79164377
Швея,"{'from': 45000, 'to': 80000}",Нет опыта,"Швея (с опытом работы и без). - Ровные строчки. - Рассмотрим кандидатов в опытом работы от 1 года или без опыта, но...",https://hh.ru/vacancy/79643534
Швея-портной,"{'from': 65000, 'to': 72000}",От 1 года до 3 лет,"Опыт работы обязателен. Ответственность, исполнительность.",https://hh.ru/vacancy/79190431
Швея,,От 1 года до 3 лет,Трудолюбие. Ответственность. Наличие оборудования.,https://hh.ru/vacancy/79687703
Швея-портной,"{'from': 80, 'to': None}",От 3 до 6 лет,Знание технологии обработки изделий женской одежды. - Умение работать с разными ассортиментными группами изделий. - Опыт работы на аналогичной должности. - ,https://hh.ru/vacancy/79012041
Швея,"{'from': 75000, 'to': 110000}",От 1 года до 3 лет,"Опыт работы не менее 1 года в швейном цехе. - Аккуратность. - Опыт работы с разными видами тканей (трикотаж, текстиль, армани-шелк...",https://hh.ru/vacancy/79544980
Швея,"{'from': 60000, 'to': None}",От 1 года до 3 лет,"Опыт работы на промышленном оборудовании. - Хорошая скорость. - Аккуратность, внимательность.",https://hh.ru/vacancy/79414866
Швея-портной,"{'from': 40000, 'to': 80000}",От 1 года до 3 лет,"Швею (портную) с опытом работы по специальности от 1 года. Знание промышленного оборудования, ровная строчка, аккуратность.",https://hh.ru/vacancy/79308118
Швея-ученик,"{'from': 30000, 'to': None}",От 1 года до 3 лет,"Опыт работы на швейном производстве от 6 месяцев. Желательно знание промышленного швейного оборудования. Личные качества: внимательность, ответственность, желание обучаться.",https://hh.ru/vacancy/78979949
"Швея-портной (мелкий ремонт одежды), г. Ивантеевка","{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/76136960
Швея,"{'from': 70000, 'to': 75000}",От 1 года до 3 лет,"Опыт пошива изделий из мебельной ткани, кожи и экокожи. Опыт работы на швейном производстве от 1 года. (на мебельном производстве...",https://hh.ru/vacancy/80084678
Швея универсал,"{'from': 120000, 'to': 200000}",От 1 года до 3 лет,Опыт пошива одежды обязателен. Выполнение на швейных машинах операций по пошиву изделий из различных материалов в соответствии с требованиями швейного...,https://hh.ru/vacancy/79807554
Швея/мастер по пошиву,,От 1 года до 3 лет,"Опыт моделирования, пошива, раскроя, знание рынка материалов. Умение работать с тяжелыми тканями. Опыт изготовления салонов автомобилей или мягкой мебели приветствуется.",https://hh.ru/vacancy/80153603
Швея,"{'from': 50000, 'to': 120000}",От 1 года до 3 лет,Опыт работы от 1 года. Умение работать с различными типами ткани и плотными материалами.,https://hh.ru/vacancy/80221015
Портной / швея / мастер по ремонту одежды (ТЦ Европейский),"{'from': 50000, 'to': None}",От 1 года до 3 лет,"Опыт работы от 0,5 года или спец. образование. Качественное выполнение работ. Готовность поддерживать высокий уровень обслуживания. Вежливость, ответственное отношение...",https://hh.ru/vacancy/80117402
Швея-портной,"{'from': 60000, 'to': None}",Нет опыта,Качество пошива. Ответственность. Аккуратность. Исполнительность. Возможно с небольшим опытом. Даже если вы шили давно или дома.,https://hh.ru/vacancy/79796000
Швея-портной,"{'from': 80000, 'to': 130000}",От 3 до 6 лет,"Аккуратность, внимательность, исполнительность.",https://hh.ru/vacancy/79868067
Швея-портной,"{'from': 70000, 'to': 120000}",Более 6 лет,"Аккуратность и качество, опыт работы.",https://hh.ru/vacancy/79127806
Швея-портной,"{'from': 85000, 'to': 150000}",Более 6 лет,Опыт работы в ателье премиум класса. Отличное качество ремонта дорогостоящих изделий.,https://hh.ru/vacancy/80181906
Швея-портной,"{'from': 70000, 'to': None}",От 3 до 6 лет,опыт. - ответственность. - умение работать в команде. - сообразительность. - доброжелательность.,https://hh.ru/vacancy/79816802
Швея,"{'from': 80000, 'to': 110000}",От 3 до 6 лет,"Опыт работы швеей. Умение шить по готовым лекалам. Знание технологических операций при пошиве одежды. Внимательность, усидчивость, аккуратность.",https://hh.ru/vacancy/79277492
Швея-портной / ремонт одежды,"{'from': 50000, 'to': None}",От 1 года до 3 лет,Опыт работы по ремонту/пошиву одежды. Внимательность. Аккуратность.,https://hh.ru/vacancy/78415274
Швея на обувное производство,"{'from': 30000, 'to': 90000}",Нет опыта,"Приветствуется опыт работы на данной должности от 0,5 года.",https://hh.ru/vacancy/79237734
Швея,,От 1 года до 3 лет,"Опыт пошива портьер, тюля, покрывал, подушек, ламбрекенов, и т. д. от 1 года. Знание швейного оборудования. Опыт работы в сжатые...",https://hh.ru/vacancy/79225382
Швея-лаборант,"{'from': 45000, 'to': 80000}",От 1 года до 3 лет,Умение работать с тяжёлыми тканями. Аккуратность. Внимательность. Педантичность. Грамотная разговорная речь.,https://hh.ru/vacancy/80220906
Швея / Мастер ателье / Портной (ТЦ Город м.Авиамоторная),"{'from': 45000, 'to': None}",Нет опыта,"Образование: не ниже среднего специального (профильное). Навык ремонта, подгонки и корректировки изделия по фигуре. Опыт работы с изделиями из кожи...",https://hh.ru/vacancy/69214545
Швея-портной женской одежды,"{'from': 60000, 'to': 70000}",От 3 до 6 лет,Опыт работы по специальности не менее 1 года. Знание и умение работать на промышленном швейном оборудовании. Умение собрать изделие полностью...,https://hh.ru/vacancy/79480040
Швея,"{'from': 80000, 'to': 100000}",От 3 до 6 лет,Умение качественно шить. Аккуратность.,https://hh.ru/vacancy/79288867
Швея,"{'from': 80000, 'to': 160000}",От 3 до 6 лет,"Опыт работы на производстве более 3-х лет. -Аккуратность, точность, высокая скорость работы! -Бесконфликтность и умение работать в команде.",https://hh.ru/vacancy/79692534
Швея-портной,"{'from': 80000, 'to': 120000}",От 1 года до 3 лет,Желание работать больше приветствуется. Опыт работы. Аккуратность в работе. Хорошая производительность. Пунктуальность.,https://hh.ru/vacancy/79479908
Швея на трикотажный ассортимент,,От 1 года до 3 лет,"Специализация: - Опыт работы на промышленном швейном оборудовании. - Бережное отношение к качеству выпускаемой продукции. - Внимательность к деталям, аккуратность, ответственность.",https://hh.ru/vacancy/79827349
Швея,"{'from': 45000, 'to': 85000}",От 1 года до 3 лет,Добросовестно подход к работе.,https://hh.ru/vacancy/79691622
Швея,"{'from': 60000, 'to': None}",От 1 года до 3 лет,Опыт работы. Внимательность. Усидчивость.,https://hh.ru/vacancy/79445869
Швея-портной,"{'from': 65000, 'to': 120000}",Нет опыта,"Умение работать быстро и качественно. Аккуратность, ответственность и исполнительность. Опыт работы (если нет, то можем научить). Образование не ниже среднего.",https://hh.ru/vacancy/79194450
Швея-портной,"{'from': 60000, 'to': 120000}",От 1 года до 3 лет,"Опыт работы с промышленным швейным оборудованием. Аккуратность, инициативность, исполнительность.",https://hh.ru/vacancy/79422692
Швея-портной (м. Семёновская),"{'from': 70000, 'to': None}",От 1 года до 3 лет,,https://hh.ru/vacancy/79574240
"Швея-портной (мелкий ремонт одежды, м. Нагатинская)","{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/77593209
Швея-лаборант (технолог),"{'from': 80000, 'to': 120000}",От 3 до 6 лет,,https://hh.ru/vacancy/79938806
Швея-универсал в ателье,"{'from': 60000, 'to': 70000}",От 1 года до 3 лет,"Качественный пошив, аккуратность. Высокая скорость работы.",https://hh.ru/vacancy/79779357
Швея-портной,"{'from': 80000, 'to': None}",Более 6 лет,,https://hh.ru/vacancy/79603565
Швея,"{'from': 55000, 'to': 60000}",От 1 года до 3 лет,Желателен опыт работы от 1 года. Профильное образование – весомое преимущество. Понимание технологии пошива одежды. Желание обучаться профессии и развиваться. ,https://hh.ru/vacancy/79465322
Швея универсал,"{'from': 50000, 'to': 70000}",От 1 года до 3 лет,Опыт работы 1-3 года. Умение работать с швейным оборудованием. Опыт работы по ремонту одежды. Ответственность. Аккуратность. Исполнительность.,https://hh.ru/vacancy/79456302
Швея-лаборант,"{'from': 70000, 'to': None}",От 1 года до 3 лет,"Нам нужен сотрудник с опытом и знаниями. - навыки работы на промышленном швейном оборудовании (оверлок, прямострочная машина и распошивальная). - ",https://hh.ru/vacancy/79707857
Швея-универсал,"{'from': 70000, 'to': 90000}",От 1 года до 3 лет,Умение проработки сложных узлов. - Умение работать со всеми видами ткани. - Знание технологии обработки верхней одежды. - Внимательность к деталям.,https://hh.ru/vacancy/80096289
"Швея-портной (мелкий ремонт одежды), м. Бабушкинская","{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/76048748
"Швея на пошив женской одежды (платья, юбки, блузы, трикотаж)","{'from': 80000, 'to': None}",От 1 года до 3 лет,"Опыт работы от 2-х лет. Умение работать с производственными и бытовыми швейными машинами. Аккуратность, ответственность и порядочность. Понимание технологии. ",https://hh.ru/vacancy/79396560
"Швея-портной (мелкий ремонт одежды), м. Пятницкое Шоссе, ТЦ ""Отрада""","{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/67645625
Швея,"{'from': 40000, 'to': 70000}",От 1 года до 3 лет,Пошив медицинской одежды (легкие и средние ткани). Знание техники шитья. Требования: Среднее или средне-специальное образование. Пройденный курс профподготовки. ,https://hh.ru/vacancy/79294668
Швея,,От 1 года до 3 лет,"Основное общее образование. Опыт работы швеёй изделий из кожи от 1 года обязателен. Коммуникабельность, доброжелательность, ответственность.",https://hh.ru/vacancy/71861307
Швея-портной,"{'from': 80000, 'to': None}",От 1 года до 3 лет,Умение работать на промышленном швейном оборудовании. Качество пошива.,https://hh.ru/vacancy/79238697
Швея-портной (м. Царицыно),"{'from': 50000, 'to': None}",От 1 года до 3 лет,,https://hh.ru/vacancy/79575110
Швея/мастер по ремонту одежды,"{'from': 50000, 'to': 120000}",От 3 до 6 лет,Опыт работы в ремонте и реставрации одежды любых тканей от 5 лет. - Умение работать на всех видах швейных машин. -,https://hh.ru/vacancy/79976180
Швея-портной (пошив штор),"{'from': 60000, 'to': 100000}",От 1 года до 3 лет,Опыт работы в пошиве (желательно на шторах). Аккуратность.,https://hh.ru/vacancy/79513115
Швея / Мастер ателье / Портной (ТЦ Океания),"{'from': 50000, 'to': None}",От 1 года до 3 лет,"Образование: не ниже среднего специального (профильное). Навык ремонта, подгонки и корректировки изделия по фигуре. Опыт работы с изделиями из кожи...",https://hh.ru/vacancy/78464735
"Швея-портной (мелкий ремонт одежды, м. Алтуфьево, ТЦ ""Весна"")","{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/77497851
Швея на производство,"{'from': 40000, 'to': 80000}",От 1 года до 3 лет,"Умение работать на оверлоке, прямострочке, распошивальной машинах. Аккуратность. Исполнительность. Скорость пошива.",https://hh.ru/vacancy/79816723
Швея-ручница/ручник,"{'from': 35000, 'to': 45000}",Нет опыта,Усидчивость. Аккуратность. Опыт не имеет значение.,https://hh.ru/vacancy/79521537
Швея,"{'from': None, 'to': 80000}",От 1 года до 3 лет,"Опыт работы на швейных потоках для производства малосерийных или крупных партий швейных изделий легкого ассортимента (платья, блузки, юбки, брюки, кроенный...",https://hh.ru/vacancy/67331357
Швея,"{'from': 50000, 'to': None}",От 1 года до 3 лет,"Знание промышленного оборудования, технологии пошива. Требования: Опыт работы на промышленных швейных машинах: оверлок, распошивалка, прямострочка, двухиголка, пуговичная, поясная и другие. ",https://hh.ru/vacancy/78464855
Швея-портной,"{'from': 60000, 'to': None}",От 1 года до 3 лет,"Умение работать на промышенных швейных машинах,таких как: Знание обработки и пошива трикотажных изделий.",https://hh.ru/vacancy/79796530
Швея-Портной в свадебный салон,"{'from': 80000, 'to': 150000}",От 1 года до 3 лет,Опыт работы по специальности. Аккуратность. Пунктуальность. Ответственность. Внимательность.,https://hh.ru/vacancy/79800471
Швея-портной,"{'from': 60000, 'to': None}",От 1 года до 3 лет,Аккуратность. Умение работать с разными тканями. Внимательность. Опыт работы на разном оборудовании.,https://hh.ru/vacancy/80034124
Швея/Портной,"{'from': 70000, 'to': 110000}",От 3 до 6 лет,"Имеете опыт работы от 3-х лет. Есть 4-5 разряд. Стремитесь к развитию. Аккуратный, не конфликтный, любите своё дело.",https://hh.ru/vacancy/78678677
Швея-портной ( мелкий ремонт одежды ),"{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/77577116
Швея-портной,"{'from': 75000, 'to': None}",От 1 года до 3 лет,Профессиональное знание методов сборки и обработки швейных изделий. Требования: Умение работать со всеми видами тканей. Высокая скорость без потери качества. ,https://hh.ru/vacancy/79478483
Швея-портной,"{'from': 45000, 'to': 75000}",От 1 года до 3 лет,Образование (профильное). - Опыт работы обязателен. - Знание технологий пошива изделий. - Качество и скорость пошива.,https://hh.ru/vacancy/80104855
Швея,"{'from': 40000, 'to': 40000}",От 1 года до 3 лет,Опыт работы по ТК от 1 года. Среднее-профессиональное образование.,https://hh.ru/vacancy/79586761
Швея,"{'from': 50000, 'to': 80000}",От 1 года до 3 лет,"Умение шить на швейной машине. - Умение работать в потоке. - Высокая скорость, аккуратность, внимательность, ответственность.",https://hh.ru/vacancy/74383137
Швея-универсал текстильной группы,"{'from': 85000, 'to': None}",От 1 года до 3 лет,Среднее/ Высшие профессиональное образование. Обязательно знание ассортимента швейной продукции и свойства материалов. Знание методов и приемов выполнения операций по пошиву...,https://hh.ru/vacancy/78165410
Швея в мастерскую Южное Бутово,"{'from': 35000, 'to': 80000}",От 1 года до 3 лет,"Профильное образование, опыт работы от года.",https://hh.ru/vacancy/79956407
"Швея-портной (""люкс"")","{'from': 70000, 'to': None}",От 3 до 6 лет,"Среднее (высшее) профильное образование. Опыт работы от 3-х лет в пошиве одежды люкс, эксклюзивной одежды сложного кроя. ",https://hh.ru/vacancy/79498263
Швея-портной,"{'from': 40000, 'to': 65000}",От 3 до 6 лет,"Пунктуальность, порядочность.",https://hh.ru/vacancy/80181262
"Швея-портной (по мелкому ремонту одежды, м. Кузьминки)","{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/79253755
Швея-лаборант,"{'from': 70000, 'to': None}",От 3 до 6 лет,"Вы опытный профессионал и отлично знаете технологию раскроя, пошива одежды. Постоянно интересуетесь всем, что происходит в вашей сфере деятельности в...",https://hh.ru/vacancy/79262712
"Швея-портной (мелкий ремонт одежды), м. Марьино","{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/75908435
"Швея на швейное производство (автоковрики, кофры)","{'from': 60000, 'to': None}",Нет опыта,,https://hh.ru/vacancy/79372580
Швея лаборант,"{'from': 70000, 'to': None}",От 3 до 6 лет,"знание технологий пошива изделий. - высокие стандарты качества пошива. - знание промышленного оборудование, ВТО.",https://hh.ru/vacancy/79037571
Портной-Швея,,От 3 до 6 лет,"профессиональное образование. -опыт работы в ателье (отшив изделия от начала до конца). -ответственность, аккуратность.",https://hh.ru/vacancy/79113052
Швея-портной (мелкий ремонт одежды) м. Белорусская,"{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/71761952
Швея/лаборант,"{'from': 60000, 'to': None}",Более 6 лет,опыт работы от 10 лет. -регулировать скорость машины при выполнении различных видов швов. - умение работать в команде.,https://hh.ru/vacancy/79507755
"Швея-портной (мелкий ремонт одежды), м. Митино","{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/79476278
Швея,"{'from': None, 'to': 60000}",От 3 до 6 лет,Опыт работы от 3-х лет на всех операциях. Аккуратность.,https://hh.ru/vacancy/79517670
Швея-портной (мелкий ремонт одежды) м. Динамо,"{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/69199771
"Швея-портной (мелкий ремонт одежды, м. Алексеевская)","{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/79712546
Швея универсал,"{'from': 45000, 'to': 55000}",От 1 года до 3 лет,Имеет опыт работы на промышленном оборудовании. - Умеет работать с различными видами ткани и понимает технологию обработки изделия. - Умеет работать с...,https://hh.ru/vacancy/80117739
Швея (пошив образцов),"{'from': 40000, 'to': 80000}",От 1 года до 3 лет,"Опыт аналогичной работы на фабриках, знание спецмашин. Опыт работы швеёй обязателен!!!. Аккуратность. Исполнительность. Пунктуальность.",https://hh.ru/vacancy/79408234
Швея-портной,"{'from': 70000, 'to': None}",От 1 года до 3 лет,"Опыт работы от 1 года. - Качественный пошив. - Знание профессиональных машинок (оверлок, прямострочная машинка, распошивальная машинка, желательно поясная).",https://hh.ru/vacancy/79593645
Швея,,От 3 до 6 лет,Релевантный опыт работы от трех лет. Опыт работы на фабрике.,https://hh.ru/vacancy/78185882
Швея-портной в ателье / мастер по ремонту одежды,"{'from': 45000, 'to': 120000}",От 1 года до 3 лет,"Навыки пошива. Знание современного оборудования. Требования: Грамотная речь, хорошее знание русского языка. Хороший темп работы.",https://hh.ru/vacancy/80082095
Швея (мягкая мебель),"{'from': 70000, 'to': 100000}",От 1 года до 3 лет,опыт работы на мебельном производстве. - умение кроить и шить чехлы для мягкой мебели.,https://hh.ru/vacancy/79862230
Швея,"{'from': None, 'to': 70000}",От 1 года до 3 лет,"Опыт работы от 1-3 лет. Приветствуется профессиональное образование: училище, колледж (портной, швея экспериментального цеха, лаборант). Знание и владение технологии...",https://hh.ru/vacancy/79151154
Швея по шторам,"{'from': 50000, 'to': 80000}",От 1 года до 3 лет,"Пошив текстильных изделий любой сложности быстро и аккуратно. Требования: Аккуратность,исполнительность, ответственное отношение к работе. Высокое требование к качеству.",https://hh.ru/vacancy/79858702
Швея-портной в свадебный салон,"{'from': 80000, 'to': None}",От 1 года до 3 лет,Опыт работы со свадебными\вечерними платьями. Аккуратность. Внимательность. Умение общаться с клиентами.,https://hh.ru/vacancy/79463502
"Швея-портной (мелкий ремонт одежды, ТЦ ""Мега Теплый Стан"")","{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/79875960
"Швея-портной (мелкий ремонт одежды), м. Каширская, ТРЦ ""Гудзон""","{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/71072777
Швея-портной,"{'from': 80000, 'to': None}",От 3 до 6 лет,навык пошива изделия (платье/брюки/рубашки сложного кроя и тд). - опыт работы с нежными и капризными тканями. - опыт работы на...,https://hh.ru/vacancy/79334935
Швея (производство мягкой мебели),"{'from': 70000, 'to': 110000}",От 1 года до 3 лет,"Опыт работы 1-3 года. Дисциплинированность, ответственность, аккуратность.",https://hh.ru/vacancy/78827818
Швея/Портной,"{'from': 60000, 'to': 130000}",От 3 до 6 лет,"Опыт работы на швейном производстве ОБЯЗАТЕЛЕН. Знания швейного оборудования. Личные качества: внимательность, ответственность.",https://hh.ru/vacancy/75835695
Швея-портной,"{'from': 55000, 'to': None}",От 1 года до 3 лет,,https://hh.ru/vacancy/79962527
Швея/портной (трикотаж),"{'from': 80000, 'to': 140000}",От 1 года до 3 лет,"Уметь быстро, качественно отшивать изделия пооперационно. Быть внимательным и ответственным профессионалом. Умение работать на современном производственном оборудовании. Умение работать с...",https://hh.ru/vacancy/79806950
Швея (автомобильная промышленность),"{'from': 120000, 'to': 130000}",От 3 до 6 лет,Требования: только с опытом работы в данной области от 5 лет.,https://hh.ru/vacancy/79593988
Швея-портной,"{'from': 55000, 'to': None}",От 1 года до 3 лет,Аккуратность. Опыт работы от 1 года.,https://hh.ru/vacancy/79274623
